title;description;type;calories;fat;carbs;protein
Smoothie;A refreshing and nutritious drink made with blended fruits, yogurt, and sometimes greens. Smoothies provide vitamins, fiber, and protein, making them a great on-the-go option.;dessert;250;2;45;10
Bagel with cream cheese;A chewy bagel spread with creamy cheese, perfect for a quick breakfast or snack. This dish is rich in carbs and fats, making it a filling and satisfying meal.;breakfast,snack;300;12;45;8
Breakfast burrito;A hearty breakfast option featuring scrambled eggs, veggies, and sometimes meat, all wrapped in a tortilla. Breakfast burritos provide a balance of protein, carbs, and fats.;breakfast,snack;350;18;35;15
English muffin with jam;A light and sweet breakfast or snack option, featuring a toasted English muffin topped with fruit jam. This dish provides quick energy from the carbs and sugars.;breakfast,snack;180;4;30;4
Pancakes with syrup;A classic breakfast option featuring fluffy pancakes drizzled with sweet syrup. Pancakes are rich in carbs, providing quick energy, but can be high in sugars.;breakfast,snack;350;12;55;6
French toast with berries;A sweet and indulgent breakfast dish made with egg-soaked bread, topped with fresh berries. French toast provides protein and carbs but can be high in fats.;breakfast,snack;400;15;55;10
Breakfast sandwich;A filling sandwich made with eggs, cheese, and often bacon or sausage. This dish is high in protein and fats, making it a hearty breakfast option.;breakfast,snack;450;25;40;20
Waffles with syrup;Crispy waffles topped with syrup, making for a delicious breakfast or snack. Waffles are rich in carbs and sugars, offering a sweet and filling meal.;breakfast,snack;380;12;60;6
Granola with milk;A crunchy and nutrient-packed breakfast made with granola served with milk. This dish provides fiber from the granola and protein from the milk.;breakfast,snack;250;10;35;8
Fruit salad;A light and refreshing mix of fresh fruits, perfect for a snack or breakfast. Fruit salad is low in calories but rich in vitamins and antioxidants.;breakfast,snack;150;1;35;2
Quiche Lorraine;A savory French pie made with eggs, bacon, and cheese in a flaky crust. Quiche Lorraine is rich in protein and fats, making it a satisfying breakfast or snack.;breakfast,snack;450;30;30;15
Shakshuka;A spicy Middle Eastern dish of eggs poached in a rich tomato sauce. Shakshuka provides a good amount of protein and vitamins from the tomatoes.;breakfast,snack;300;20;25;10
Eggs Benedict;A decadent breakfast dish featuring poached eggs and hollandaise sauce served on an English muffin. Eggs Benedict is high in protein and fats, making it an indulgent meal.;breakfast,snack;450;35;25;12
Croissant with ham and cheese;A buttery, flaky croissant filled with savory ham and melted cheese. This dish is rich in protein and fats, offering a filling and indulgent snack or breakfast.;breakfast,snack;400;22;30;15
Chia seed pudding;A healthy and filling breakfast or snack made with chia seeds soaked in milk. Chia seeds are high in omega-3s, fiber, and protein, making this a nutrient-dense option.;breakfast,snack;200;12;15;6
Breakfast tacos;A savory breakfast option featuring scrambled eggs, vegetables, and sometimes meat, wrapped in a soft tortilla. Breakfast tacos provide a balance of protein, fats, and carbs.;breakfast,snack;350;18;35;15
Huevos rancheros;A Mexican breakfast dish featuring eggs served with salsa and tortillas. Huevos rancheros are rich in protein and provide a balance of carbs and healthy fats.;breakfast,snack;400;20;35;15
Acai bowl;A smoothie bowl made with blended acai berries and topped with fruits, nuts, and granola. Acai bowls are rich in antioxidants and provide a good source of fiber.;breakfast,snack;350;12;50;8
Sausage and egg biscuit;A hearty breakfast sandwich made with sausage, eggs, and a flaky biscuit. This dish is rich in protein and fats, offering a filling and indulgent option.;breakfast,snack;450;30;30;20
Baked oatmeal;A wholesome breakfast dish made with oats, fruits, and nuts, baked to perfection. Baked oatmeal is rich in fiber and provides slow-releasing energy.;breakfast,snack;300;12;45;10
Cinnamon rolls;Sweet rolls filled with cinnamon and topped with icing, perfect for breakfast or a snack. Cinnamon rolls are high in sugars and fats, offering a sweet indulgence.;breakfast,snack;420;15;65;6
Dutch baby pancake;A large, oven-baked pancake often served with fruit and powdered sugar. Dutch baby pancakes are rich in carbs and fats, making them a sweet and filling breakfast.;breakfast,snack;500;25;55;12
Picada;An Argentine platter featuring a selection of cold cuts, cheeses, olives, and breads. Picada offers various proteins and fats from meats and cheeses.;snack;300;20;10;15
Sandwich de miga;Thin-crusted Argentine sandwiches filled with ham, cheese, and sometimes vegetables. Provides carbs from bread and protein from fillings.;snack;250;10;30;12
Deviled eggs;Hard-boiled eggs filled with a creamy yolk mixture seasoned with spices. High in protein and healthy fats.;snack;150;10;2;12
Mozzarella sticks;Breaded and fried mozzarella cheese sticks served with marinara sauce. High in fats and protein from the cheese.;snack;280;15;20;10
Nachos with salsa;Crispy tortilla chips served with spicy salsa. High in carbs with added vitamins from the salsa.;snack;200;8;28;4
Guacamole with chips;Creamy avocado dip served with tortilla chips. Rich in healthy fats from avocado and carbs from chips.;snack;250;15;28;5
Edamame;Steamed young soybeans lightly salted. Rich in plant-based protein and fiber.;snack;120;5;10;12
Stuffed mushrooms;Mushroom caps filled with breadcrumbs, herbs, and cheese. Provides fiber and protein.;snack;180;10;15;6
Sausage rolls;Pastry-wrapped sausages baked until golden brown. High in fats and protein.;snack;310;20;25;10
Chicken wings;Fried or baked wings coated in spicy sauce. High in protein and fats.;snack;290;20;5;22
Pretzels;Baked bread snack twisted into knots and sprinkled with salt. High in carbs for quick energy.;snack;220;2;46;7
Popcorn;Light and airy popped corn kernels, often salted or buttered. Provides whole grains and fiber.;snack;150;8;18;3
Olives;Flavorful cured fruits served as a snack. Rich in healthy fats and antioxidants.;snack;100;10;5;1
Tapas;Variety of small Spanish dishes like olives, cheeses, and cured meats. Mix of proteins, fats, and carbs.;lunch,dinner;250;15;10;12
Antipasto platter;Italian appetizer with cured meats, cheeses, olives, and veggies. Offers proteins and healthy fats.;snack;300;20;10;15
Cheese platter;Selection of various cheeses with crackers or bread. High in protein and fats.;snack;350;25;15;20
Mini quiches;Small pastry shells filled with egg, cheese, and veggies. Provides protein and fats.;snack;200;12;15;8
Onion rings;Slices of onion battered and fried until crispy. High in fats and carbs.;snack;280;15;30;4
Potato skins;Baked potato halves topped with cheese, bacon, and sour cream. High in carbs and fats.;snack;320;20;28;8
Caprese skewers;Skewered tomatoes, mozzarella, and basil drizzled with balsamic glaze. Provides protein and vitamins.;snack;120;8;5;6
Satay chicken skewers;Grilled marinated chicken served with peanut sauce. High in protein and healthy fats.;snack;250;15;10;20
Spring rolls (vegetarian);Rice paper rolls filled with fresh veggies and herbs. Low in fat, high in fiber.;snack;150;5;20;4
Empanada de queso;Argentine cheese-filled pastry. High in carbs and protein.;snack;250;12;28;8
Plantain chips;Fried thin slices of plantain, lightly salted. High in carbs, provides a crunchy snack.;snack;200;10;25;1
Falafel balls;Deep-fried balls made from ground chickpeas and spices. High in plant-based protein and fiber.;snack;220;12;20;8
Sushi rolls (vegetarian);Rice rolls filled with veggies wrapped in seaweed. Provides carbs and some protein.;lunch,dinner;180;3;35;5
Cheese straws;Baked pastry sticks flavored with cheese and spices. High in carbs and fats.;snack;220;14;18;5
Veggie sticks with hummus;Fresh vegetable sticks with creamy hummus dip. Provides fiber, vitamins, and protein.;snack;150;8;12;5
Meat pies;Small pies filled with seasoned meat and gravy. High in protein, fats, and carbs.;lunch,dinner;300;18;25;12
Matambre arrollado;Argentine rolled meat stuffed with veggies and eggs. Rich in protein and nutrients.;lunch,dinner;350;20;5;30
Flan;Creamy Argentine custard dessert topped with caramel sauce. Rich in sugars and fats.;dessert;250;10;35;6
Pastafrola;Argentine tart filled with quince paste or sweet potato jam. High in carbs and sugars.;dessert,snack;300;12;45;4
Tarte Tatin;French upside-down apple tart with caramelized apples. Rich in carbs and sugars.;dessert;350;15;50;4
Crème brûlée;Creamy custard topped with caramelized sugar crust. Rich in fats and sugars.;dessert;300;20;30;6
Brownies;Chocolatey squares often with nuts or chips. High in sugars and fats.;dessert,snack;400;18;55;5
Macarons;French meringue cookies filled with flavored cream. High in sugars, low in fats.;dessert;150;6;22;3
Fruit tart;Pastry crust filled with custard and topped with fruits. Provides vitamins and carbs.;dessert;250;12;35;4
Profiteroles;Cream-filled pastry balls topped with chocolate sauce. High in fats and sugars.;dessert;300;20;30;5
Eclairs;Pastry filled with cream and topped with icing. Rich in sugars and fats.;dessert;350;18;40;6
Chocolate mousse;Light and airy chocolate dessert. High in fats and sugars.;dessert;250;15;25;5
Apple crumble;Baked apples with a crumbly topping. High in carbs and sugars.;dessert;350;15;50;4
Black Forest cake;Chocolate cake with cherries and cream layers. Rich in fats and sugars.;dessert;400;20;55;6
Banoffee pie;Pie with bananas, cream, and toffee. High in fats and sugars.;dessert;450;25;55;5
Cannoli;Italian pastry tubes with sweet ricotta filling. High in fats and sugars.;dessert;220;12;25;5
Lemon tart;French tart with sweet and tangy lemon filling. High in sugars.;dessert;300;15;40;5
Gulab Jamun;Indian fried dough balls in sugar syrup. Very high in sugars and fats.;dessert;350;12;60;5
Mochi ice cream;Japanese ice cream wrapped in sweet rice dough. High in sugars.;dessert;100;3;20;2
Sticky toffee pudding;Sponge cake with dates and toffee sauce. High in sugars and fats.;dessert;450;20;60;5
Trifle;English dessert with layers of cake, fruit, and custard. High in sugars and fats.;dessert;300;15;40;5
Fruit salad with ice cream;Fresh fruits served with ice cream. Provides vitamins and sugars.;dessert;250;8;40;3
Donuts;Fried dough rings often glazed. High in fats and sugars.;dessert;300;15;40;5
Banana split;Banana with ice cream, sauces, and nuts. High in sugars and fats.;dessert;400;20;55;6
Meringue;Light cookies made from egg whites and sugar. High in sugars.;dessert;100;0;23;1
Rice pudding;Creamy dessert made with rice and milk. High in carbs and sugars.;dessert;200;5;35;5
Panna cotta;Italian sweetened cream thickened with gelatin. Rich in fats and sugars.;dessert;250;15;25;3
Éclair au café;Pastry with coffee cream and icing. High in sugars and fats.;dessert;350;18;40;6
Fruit sorbet;Frozen dessert from sweetened fruit juice. Low in fat, high in sugars.;dessert;150;0;35;1
Mille-feuille;French pastry with layers of puff pastry and cream. High in fats and sugars.;dessert;350;20;40;6
Chocolate fondant;Warm chocolate cake with a liquid center. Rich in fats and sugars.;dessert;400;22;50;5
Chaja cake;Uruguayan sponge cake with peaches and meringue. High in sugars and fats.;dessert;350;15;55;5
Breakfast tacos with chorizo;Tacos filled with scrambled eggs, spicy chorizo, and cheese. High in protein and fats.;breakfast,snack;400;25;30;18
Omelette with spinach and feta;Fluffy omelette with spinach and crumbled feta cheese. High in protein and vitamins.;breakfast,snack;350;18;10;25
Scones with clotted cream;Buttery scones served with rich clotted cream and jam. High in fats and carbs.;breakfast,snack;450;20;55;8
Egg and cheese muffin;English muffin with egg, cheese, and sometimes ham. High in protein and carbs.;breakfast,snack;350;18;30;20
Acai smoothie;Blended acai berries with yogurt and fruits. Rich in antioxidants and carbs.;breakfast,snack;300;8;50;5
Egg white scramble with veggies;A healthy scramble made with egg whites and sautéed vegetables. Low in fat, high in protein.;breakfast,snack;200;5;12;20
Muesli with dried fruits;A mix of oats, dried fruits, and nuts served with milk. High in fiber and healthy fats.;breakfast,snack;280;10;40;8
Breakfast casserole;Eggs, sausage, potatoes, and cheese baked together. High in protein and carbs.;breakfast,snack;450;25;35;22
Chorizo and eggs;Scrambled eggs mixed with spicy chorizo sausage. High in protein and fats.;breakfast,snack;400;25;5;25
Smoked salmon bagel;Bagel topped with smoked salmon, cream cheese, and capers. High in fats and protein.;breakfast,snack;400;20;40;20
Churros with chocolate;A sweet and indulgent breakfast of fried dough with a thick chocolate dip.;breakfast,snack;450;20;60;5
Breakfast parfait;Layered yogurt, granola, and fresh fruit. High in protein, fiber, and vitamins.;breakfast,snack;300;10;45;12
Protein pancakes;High-protein pancakes made with protein powder and oats. Low in carbs, high in protein.;breakfast,snack;320;8;25;25
Toasted rye with avocado and smoked salmon;Rye toast topped with creamy avocado and smoked salmon. Rich in healthy fats and protein.;breakfast,snack;350;18;30;20
Hash browns and eggs;Crispy potato hash browns served with fried or scrambled eggs. High in carbs and fats.;breakfast,snack;400;20;45;12
Blueberry muffins;Fluffy muffins filled with fresh blueberries. High in carbs and sugars.;breakfast,snack;350;12;55;5
Egg and sausage casserole;Baked eggs with sausage, cheese, and vegetables. High in protein and fats.;breakfast,snack;450;30;15;25
Smoothie bowl;A thick smoothie topped with fruits, granola, and seeds. High in vitamins and carbs.;breakfast,snack;350;10;55;8
Spinach and mushroom frittata;An Italian-style omelette filled with spinach and mushrooms. High in protein and vitamins.;breakfast,snack;250;15;10;15
Porridge with banana and honey;Warm oats topped with sliced banana and a drizzle of honey. High in carbs and fiber.;breakfast,snack;300;5;55;6
Egg burrito with salsa;Eggs, cheese, and salsa wrapped in a tortilla. High in protein and carbs.;breakfast,snack;350;15;35;20
Savory oatmeal with eggs;Oats cooked with savory seasonings and topped with a fried egg. High in protein and fiber.;breakfast,snack;300;10;40;10
Cottage cheese with fruit;Creamy cottage cheese served with fresh fruit. Low in fat, high in protein.;breakfast,snack;200;5;20;12
Pumpkin pancakes;Fluffy pancakes made with pumpkin puree and spices. High in carbs and vitamins.;breakfast,snack;350;12;55;8
Maple bacon waffles;Crispy waffles topped with bacon and drizzled with maple syrup. High in carbs and fats.;breakfast,snack;500;25;65;12
Beef stroganoff;Tender beef strips in a creamy mushroom sauce served over noodles. Rich in protein and carbs.;lunch,dinner;500;25;40;30
Chickpea curry;Spiced chickpeas simmered in a flavorful curry sauce. High in fiber and plant-based protein.;lunch,dinner;350;15;40;12
Grilled vegetable sandwich;A sandwich filled with grilled vegetables and pesto on whole-grain bread. High in fiber and vitamins.;lunch,dinner;350;15;45;12
Beef burger with fries;Juicy beef patty in a bun, served with crispy fries. High in protein and carbs.;lunch,dinner;700;40;65;30
Seafood paella;A Spanish dish with rice, seafood, and saffron. High in protein and carbs.;lunch,dinner;550;15;60;30
Turkey sandwich with cranberry sauce;Sliced turkey with cranberry sauce on whole-grain bread. High in protein and carbs.;lunch,dinner;400;10;45;25
Ravioli with marinara sauce;Pasta pockets filled with cheese or meat, served in marinara sauce. High in carbs and protein.;lunch,dinner;500;20;60;15
Chicken katsu;Breaded and fried chicken cutlet served with rice. High in protein and carbs.;lunch,dinner;600;25;65;30
Beef bourguignon;French stew with beef, red wine, and vegetables. Rich in protein and healthy fats.;lunch,dinner;550;30;25;40
Spaghetti carbonara;Pasta with a creamy sauce made from eggs, cheese, and pancetta. High in carbs and fats.;lunch,dinner;600;30;50;20
Shrimp fried rice;Fried rice with shrimp, eggs, and vegetables. High in protein and carbs.;lunch,dinner;500;15;70;20
Chicken Alfredo pasta;Pasta with grilled chicken in a creamy Alfredo sauce. High in protein and carbs.;lunch,dinner;650;35;60;30
Meatball sub;A sandwich filled with meatballs, marinara sauce, and melted cheese. High in protein and carbs.;lunch,dinner;600;25;70;30
Chicken enchiladas;Corn tortillas stuffed with chicken and topped with enchilada sauce. High in protein and carbs.;lunch,dinner;550;25;60;30
Vegetarian lasagna;Lasagna layered with vegetables, cheese, and marinara sauce. High in fiber and protein.;lunch,dinner;450;20;50;15
Pulled pork sandwich;Slow-cooked pork served in a bun with barbecue sauce. High in protein and fats.;lunch,dinner;600;30;50;30
Bangers and mash;Grilled sausages served with mashed potatoes and gravy. High in protein and carbs.;lunch,dinner;500;25;50;20
Steak and potatoes;Grilled steak served with roasted potatoes. High in protein and carbs.;lunch,dinner;700;40;50;50
Chicken Parmesan;Breaded chicken breast topped with marinara sauce and melted cheese. High in protein and fats.;lunch,dinner;600;30;50;40
Eggplant lasagna;Layers of eggplant, marinara, and cheese. High in fiber and protein.;lunch,dinner;400;20;40;15
Fried shrimp po' boy;A sandwich filled with fried shrimp, lettuce, and spicy mayo. High in fats and protein.;lunch,dinner;500;25;45;25
Tuna niçoise salad;A hearty salad with tuna, green beans, potatoes, and eggs. High in protein and healthy fats.;lunch,dinner;400;20;35;25
Lamb stew;Tender lamb slow-cooked with vegetables and herbs. Rich in protein and fats.;lunch,dinner;600;30;40;35
Thai green curry;Chicken and vegetables simmered in a coconut milk-based green curry. High in protein and healthy fats.;lunch,dinner;500;25;40;25
Beef fajitas;Sizzling beef strips served with peppers, onions, and tortillas. High in protein and carbs.;lunch,dinner;550;25;45;30
Chicken Caesar salad wrap;Grilled chicken, lettuce, and Caesar dressing wrapped in a tortilla. High in protein and fats.;lunch,dinner;400;20;30;25
Beef stir-fry;Tender beef slices stir-fried with vegetables and soy sauce. High in protein and vitamins.;lunch,dinner;500;20;35;30
Quinoa and black bean bowl;Quinoa with black beans, avocado, and salsa. High in fiber and plant-based protein.;lunch,dinner;450;15;60;15
Lamb chops with mint sauce;Grilled lamb chops served with a fresh mint sauce. High in protein and fats.;lunch,dinner;550;30;10;45
Pork schnitzel;Breaded and fried pork cutlet. High in protein and fats.;lunch,dinner;600;30;45;35
Vegetarian burrito bowl;Rice, beans, avocado, and veggies in a bowl. High in fiber and healthy fats.;lunch,dinner;450;15;65;12
Turkey meatloaf;Lean ground turkey baked with spices and herbs. High in protein and low in fat.;lunch,dinner;400;15;30;25
Barbecue ribs;Slow-cooked ribs glazed with barbecue sauce. High in protein and fats.;lunch,dinner;700;40;45;50
Chicken shawarma plate;Marinated chicken served with rice, salad, and pita bread. High in protein and carbs.;lunch,dinner;550;25;55;35
Mushroom risotto;Creamy Arborio rice cooked with mushrooms and Parmesan. High in carbs and fiber.;lunch,dinner;500;20;60;15
Shepherd's pie;Ground beef and vegetables topped with mashed potatoes. High in protein and carbs.;lunch,dinner;600;30;50;25
Beef and broccoli;Stir-fried beef with broccoli in a savory sauce. High in protein and vitamins.;lunch,dinner;450;15;35;30
Chicken teriyaki;Grilled chicken coated in a sweet and savory teriyaki sauce. High in protein.;lunch,dinner;400;10;35;25
Pesto pasta with grilled chicken;Pasta tossed in basil pesto with grilled chicken. High in protein and carbs.;lunch,dinner;550;25;60;30
Falafel bowl with tahini;Crispy falafel served with quinoa, vegetables, and tahini sauce. High in plant-based protein.;lunch,dinner;450;20;50;15
Cuban sandwich;Pressed sandwich with ham, roasted pork, Swiss cheese, and pickles. High in protein and carbs.;lunch,dinner;600;25;60;35
Shish kebab;Grilled meat skewers served with rice and vegetables. High in protein and carbs.;lunch,dinner;500;20;45;30
Lentil and vegetable stew;Hearty stew made with lentils, carrots, and potatoes. High in fiber and plant-based protein.;lunch,dinner;400;10;50;18
Tandoori lamb;Spiced lamb cooked in a tandoor oven. High in protein and healthy fats.;lunch,dinner;500;25;20;35
Stuffed zucchini;Zucchini filled with ground beef, rice, and herbs. High in protein and fiber.;lunch,dinner;350;15;35;20
Grilled salmon with quinoa;Grilled salmon filet served with quinoa and vegetables. High in omega-3s and protein.;lunch,dinner;500;25;40;30
Chicken mole;Chicken simmered in a rich, spiced mole sauce. High in protein and healthy fats.;lunch,dinner;450;20;40;25
Bulgur with roasted vegetables;Nutty bulgur wheat served with roasted vegetables. High in fiber and vitamins.;lunch,dinner;400;15;55;12
Crepes with Nutella;Thin French crepes filled with creamy Nutella spread. High in sugars and fats.;dessert;350;18;45;6
Lemon meringue pie;Tart lemon filling topped with fluffy meringue. High in sugars and carbs.;dessert;400;15;60;5
Coconut macaroons;Chewy coconut cookies often dipped in chocolate. High in fats and sugars.;dessert;150;10;20;2
Peach cobbler;Warm peaches baked under a sweet, crumbly topping. High in carbs and sugars.;dessert;350;15;50;5
Red velvet cake;Moist chocolate cake with a slight tang, often topped with cream cheese frosting. High in fats and sugars.;dessert;450;20;60;6
Cheesecake with berry compote;Classic cheesecake topped with a fresh berry compote. High in fats and sugars.;dessert;350;20;45;6
Chocolate eclairs;Choux pastry filled with cream and topped with chocolate glaze. High in sugars and fats.;dessert;300;15;40;6
Chocolate-covered strawberries;Fresh strawberries dipped in rich chocolate. Low in calories, high in sugars.;dessert;150;8;20;1
Sticky rice with mango;Thai dessert of sweet sticky rice served with fresh mango slices. High in carbs and sugars.;dessert;300;10;50;5
Apple fritters;Fried dough filled with apples and cinnamon. High in fats and sugars.;dessert;350;15;50;5
Tiramisu cheesecake;A fusion of tiramisu and cheesecake with layers of mascarpone and espresso-soaked ladyfingers. High in sugars and fats.;dessert;450;25;55;6
Chocolate lava cake;Warm chocolate cake with a molten center. High in fats and sugars.;dessert;450;25;60;5
Vanilla bean panna cotta;Italian dessert made with sweetened cream and vanilla beans, thickened with gelatin. Rich in fats and sugars.;dessert;250;15;25;3
Hazelnut gelato;Creamy Italian ice cream flavored with roasted hazelnuts. High in fats and sugars.;dessert;250;15;30;5
Tarte aux fraises;French strawberry tart with a sweet pastry crust and vanilla cream. High in sugars and fats.;dessert;350;20;45;5
Matcha cheesecake;A creamy, green tea-flavored cheesecake. Rich in sugars and fats.;dessert;300;18;35;6
Carrot cake;Moist cake filled with grated carrots and spices, topped with cream cheese frosting. High in sugars and fats.;dessert;400;20;50;5
Dulce de leche brownies;Fudgy brownies swirled with sweet dulce de leche. High in fats and sugars.;dessert;350;18;50;4
Baklava with pistachios;Layers of filo dough, honey, and crushed pistachios. High in sugars and fats.;dessert;400;22;45;6
S'mores;Graham crackers, chocolate, and marshmallows toasted over a fire. High in sugars and fats.;dessert;250;12;35;3
Yuzu sorbet;Light and refreshing sorbet made with Japanese yuzu citrus. Low in fat, high in sugars.;dessert;150;0;35;1
Pumpkin pie;Spiced pumpkin filling in a flaky pastry crust. High in carbs and sugars.;dessert;300;12;40;5
Mochi;Japanese rice cake made with sticky rice, sometimes filled with sweet bean paste. High in carbs.;dessert;150;3;30;2
Black sesame ice cream;Creamy ice cream flavored with roasted black sesame seeds. High in fats and sugars.;dessert;250;15;30;5
Chocolate truffles;Rich, creamy chocolate balls dusted with cocoa powder. High in fats and sugars.;dessert;200;12;20;3
